
2304 atoms

2 atom types

-29.094147 79.904364 xlo xhi
-34.161392 74.872029 ylo yhi
0.000000 170.303001 zlo zhi

Masses

1 28.0855
2 15.9994

Atoms

132     1 2 0.0 42.038405 -19.092574 86.698590
133     1 1 0.0 31.353129 -20.703471 92.651792
134     1 1 0.0 29.902490 -23.126917 95.749855
135     1 1 0.0 21.726985 -20.584601 95.820510
136     1 1 0.0 25.603290 -22.630057 95.510763
137     1 2 0.0 22.900185 -20.817420 99.293287
138     1 2 0.0 27.249999 -22.573905 93.801757
139     1 2 0.0 29.365527 -20.047078 93.982745
140     1 2 0.0 24.008490 -21.477393 95.087988
141     1 2 0.0 24.182695 -23.277418 97.506261
142     1 2 0.0 31.275009 -20.545931 90.844676
143     1 2 0.0 27.291061 -22.958647 96.140116
144     1 2 0.0 31.220838 -22.055530 93.797170
145     1 1 0.0 20.484037 -20.834374 99.750372
146     1 1 0.0 18.453470 -22.797595 102.848435
147     1 1 0.0 11.219486 -18.218105 102.919090
148     1 1 0.0 14.431083 -21.200600 102.609343
149     1 2 0.0 12.291880 -18.747798 106.391867
150     1 2 0.0 16.035811 -21.574296 100.900337
151     1 2 0.0 18.735291 -19.684026 101.081325
152     1 2 0.0 13.190606 -19.673105 102.186568
153     1 2 0.0 12.891066 -21.456561 104.604841
154     1 2 0.0 20.449540 -20.661945 97.943256
155     1 2 0.0 15.975482 -21.956491 103.238696
156     1 2 0.0 20.004940 -22.105605 100.895750
157     1 1 0.0 9.954332 -18.136301 106.848952
158     1 1 0.0 7.483354 -19.504406 109.947015
159     1 1 0.0 1.687932 -13.202396 110.017670
160     1 1 0.0 4.014155 -16.917004 109.707923
161     1 2 0.0 2.585837 -13.992566 113.490447
162     1 2 0.0 5.466644 -17.694872 107.998917
163     1 2 0.0 8.564596 -16.571037 108.179905
164     1 2 0.0 3.213234 -15.119631 109.285148
165     1 2 0.0 2.460531 -16.763978 111.703421
166     1 2 0.0 9.965827 -17.960831 105.041836
167     1 2 0.0 5.309069 -18.048260 110.337276
168     1 2 0.0 9.161348 -19.239360 107.994330
169     1 1 0.0 0.487500 -12.794634 113.947532
170     1 1 0.0 -2.254108 -13.473622 117.045595
171     1 1 0.0 -6.212769 -5.882097 117.116250
172     1 1 0.0 -4.931753 -10.073592 116.806503
173     1 2 0.0 -5.551048 -6.878455 120.589027
174     1 2 0.0 -3.731303 -11.202185 115.097497
175     1 2 0.0 -0.447737 -10.922003 115.278485
176     1 2 0.0 -5.238087 -8.129837 116.383728
177     1 2 0.0 -6.392238 -9.522092 118.802001
178     1 2 0.0 0.544199 -12.628180 112.140416
179     1 2 0.0 -3.975298 -11.502484 117.435856
180     1 2 0.0 -0.564886 -13.653730 115.092910
181     1 1 0.0 -7.265998 -5.176396 121.046112
182     1 1 0.0 -10.089864 -5.119614 124.144175
183     1 1 0.0 -11.939768 3.239818 124.214830
184     1 1 0.0 -11.791977 -1.140568 123.905083
185     1 2 0.0 -11.559697 2.105733 127.687607
186     1 2 0.0 -10.926048 -2.542342 122.196077
187     1 2 0.0 -7.682478 -3.125064 122.377065
188     1 2 0.0 -11.582676 0.816014 123.482308
189     1 2 0.0 -13.058972 -0.228489 125.900581
190     1 2 0.0 -7.167992 -5.030394 119.238996
191     1 2 0.0 -11.239696 -2.768920 124.534436
192     1 2 0.0 -8.505478 -5.732502 122.191490
193     1 1 0.0 -12.773428 4.194971 128.144692
194     1 1 0.0 -15.485525 4.983621 131.242755
195     1 1 0.0 -15.099567 13.536591 131.313410
196     1 1 0.0 -16.095154 9.268285 131.003663
197     1 2 0.0 -15.027260 12.342700 134.786187
198     1 2 0.0 -15.623244 7.689645 129.294657
199     1 2 0.0 -12.642534 6.284057 129.475645
200     1 2 0.0 -15.384600 11.103261 130.580888
201     1 2 0.0 -17.081607 10.478276 132.999161
202     1 2 0.0 -12.640848 4.310488 126.337576
203     1 2 0.0 -15.984996 7.552358 131.633016
204     1 2 0.0 -14.114837 3.980065 129.290070
205     1 1 0.0 -15.656377 14.675567 135.243272
206     1 1 0.0 -18.070361 16.141899 138.341335
207     1 1 0.0 -15.475058 24.300737 138.411990
208     1 1 0.0 -17.545619 20.437785 138.102243
209     1 2 0.0 -15.715484 23.129073 141.884767
210     1 2 0.0 -17.500151 18.790746 136.393237
211     1 2 0.0 -14.987103 16.658869 136.574225
212     1 2 0.0 -16.382633 22.025074 137.679468
213     1 2 0.0 -18.183750 21.862549 140.097741
214     1 2 0.0 -15.498334 14.752664 133.436156
215     1 2 0.0 -17.885152 18.752181 138.731596
216     1 2 0.0 -17.007549 14.816628 136.388650
217     1 1 0.0 -15.716761 25.545280 142.341852
218     1 1 0.0 -17.666767 27.588542 145.439915
219     1 1 0.0 -13.040442 34.792663 145.510570
220     1 1 0.0 -16.043710 31.600483 145.200823
221     1 2 0.0 -13.577081 33.723728 148.983347
222     1 2 0.0 -16.427809 29.998213 143.491817
223     1 2 0.0 -14.555092 27.286526 143.672805
224     1 2 0.0 -14.508199 32.831024 144.778048
225     1 2 0.0 -16.289674 33.142128 147.196321
226     1 2 0.0 -15.544113 25.578658 140.534736
227     1 2 0.0 -16.809605 30.061020 145.830176
228     1 2 0.0 -16.984858 26.032614 143.487230
229     1 1 0.0 -12.950431 36.057259 149.440432
230     1 1 0.0 -14.302477 38.537061 152.538495
231     1 1 0.0 -7.963000 44.291475 152.609150
232     1 1 0.0 -11.692622 41.989400 152.299403
233     1 2 0.0 -8.758980 43.398716 156.081927
234     1 2 0.0 -12.479897 40.541989 150.590397
235     1 2 0.0 -11.376184 37.436811 150.771385
236     1 2 0.0 -9.890091 42.778644 151.876628
237     1 2 0.0 -11.529519 43.542000 154.294901
238     1 2 0.0 -12.775040 36.044626 147.633316
239     1 2 0.0 -12.832255 40.701853 152.928756
240     1 2 0.0 -14.048322 36.857383 150.585810
241     1 1 0.0 -7.547459 45.489236 156.539012
242     1 1 0.0 -8.208646 48.235192 159.637075
243     1 1 0.0 -0.591598 52.144518 159.707730
244     1 1 0.0 -4.791315 50.890722 159.397983
245     1 2 0.0 -1.592228 51.489275 163.180507
246     1 2 0.0 -5.927673 49.697620 157.688977
247     1 2 0.0 -5.668800 46.412305 157.869965
248     1 2 0.0 -2.845614 51.184440 158.975208
249     1 2 0.0 -4.230352 52.347598 161.393481
250     1 2 0.0 -7.381376 45.431459 154.731896
251     1 2 0.0 -6.226383 49.943557 160.027336
252     1 2 0.0 -8.399710 46.547174 157.684390
253     1 1 0.0 0.120922 53.193147 163.637592
254     1 1 0.0 0.196023 56.016585 166.735655
255     1 1 0.0 8.567280 57.812216 166.806310
256     1 1 0.0 4.186027 57.692847 166.496563
257     1 2 0.0 7.430753 57.439510 0.613925
258     1 2 0.0 2.778665 56.836030 164.787557
259     1 2 0.0 2.174912 53.596309 164.968545
260     1 2 0.0 6.141211 57.470857 166.073788
261     1 2 0.0 5.106307 58.953898 168.492061
262     1 2 0.0 0.266284 53.094196 161.830476
263     1 2 0.0 2.554127 57.151142 167.125916
264     1 2 0.0 -0.427131 54.436208 164.782970
265     1 1 0.0 9.527822 58.639662 1.071010
266     1 1 0.0 10.334051 61.346586 4.169073
267     1 1 0.0 18.884336 60.905146 4.239728
268     1 1 0.0 14.622579 61.928404 3.929981
269     1 2 0.0 17.690002 60.840586 7.712505
270     1 2 0.0 13.040911 61.466745 2.220975
271     1 2 0.0 11.616015 58.495217 2.401963
272     1 2 0.0 16.452907 61.205960 3.507206
273     1 2 0.0 15.838945 62.906986 5.925479
274     1 2 0.0 9.642477 58.506336 168.929056
275     1 2 0.0 12.905974 61.829381 4.559334
276     1 2 0.0 9.321623 59.982437 2.216388
277     1 1 0.0 20.026901 61.454555 8.169590
278     1 1 0.0 21.508863 63.858975 11.267653
279     1 1 0.0 29.650693 61.210794 11.338308
280     1 1 0.0 25.801254 63.306373 11.028561
281     1 2 0.0 28.480612 61.458816 14.811085
282     1 2 0.0 24.153955 63.271592 9.319555
283     1 2 0.0 22.005820 60.772428 9.500543
284     1 2 0.0 27.380965 62.133114 10.605786
285     1 2 0.0 27.230129 63.935248 13.024059
286     1 2 0.0 20.102971 61.296015 6.362474
287     1 2 0.0 24.117889 63.656835 11.657914
288     1 2 0.0 20.176725 62.804784 9.314968
289     1 1 0.0 29.229537 57.123685 15.323186
290     1 1 0.0 32.136510 58.971515 16.636488
291     1 1 0.0 37.299298 55.594401 19.267768
292     1 1 0.0 35.947035 58.023727 16.430584
293     1 2 0.0 36.422031 55.204337 22.022819
294     1 2 0.0 34.839805 58.693956 14.299564
295     1 2 0.0 30.273058 56.008405 17.416079
296     1 2 0.0 36.169790 56.733948 17.462243
297     1 2 0.0 38.081947 58.230732 17.270730
298     1 2 0.0 29.123049 57.300546 13.859434
299     1 2 0.0 34.402113 58.366565 17.086367
300     1 2 0.0 30.335842 58.348661 15.381139
301     1 1 0.0 38.657825 54.870906 22.421766
302     1 1 0.0 41.945114 55.899838 23.735068
303     1 1 0.0 46.052948 51.297125 26.366348
304     1 1 0.0 45.378435 53.994396 23.529164
305     1 2 0.0 45.104456 51.148431 29.121399
306     1 2 0.0 44.483411 54.929328 21.398144
307     1 2 0.0 39.375676 53.522768 24.514659
308     1 2 0.0 45.258370 52.691041 24.560823
309     1 2 0.0 47.493795 53.639504 24.369310
310     1 2 0.0 38.600955 55.069363 20.958014
311     1 2 0.0 43.975678 54.726924 24.184947
